ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,upper_channel,lower_channel,mid_channel,tr,atr,signal,position,entry_price,stop_loss,trade_type,daily_return,strategy_return,strategy_nav,buy_hold_nav
688146.SH,2025-10-17,40.92,41.25,39.3,39.42,40.92,-1.5,-3.6657,36710.29,146414.077,42.6585,38.6775,46.8,39.4,43.099999999999994,1.9500000000000028,2.3464285714285715,0,0,,,,-0.03665689149560114,-0.0,1.117907008322687,1.363542026980285
688146.SH,2025-10-20,39.92,40.48,38.71,39.23,39.42,-0.19,-0.482,27599.93,108838.702,42.6035,38.83316666666666,46.8,39.3,43.05,1.769999999999996,2.337142857142857,0,0,,,,-0.004819888381532356,-0.0,1.117907008322687,1.3569699066067116
688146.SH,2025-10-21,39.37,40.19,39.37,40.03,39.23,0.8,2.0393,33048.45,131869.029,42.5875,39.0,46.8,38.71,42.754999999999995,0.9600000000000009,2.165714285714286,0,0,,,,0.020392556716798405,0.0,1.117907008322687,1.3846419923901776
688146.SH,2025-10-22,39.55,39.99,39.12,39.5,40.03,-0.53,-1.324,25135.54,99268.374,42.4975,39.157833333333336,46.8,38.71,42.754999999999995,0.9100000000000037,1.9378571428571436,0,0,,,,-0.013240069947539346,-0.0,1.117907008322687,1.3663092355586315
688146.SH,2025-10-23,39.5,39.77,38.68,39.51,39.5,0.01,0.0253,26108.6,102014.095,42.3625,39.321,46.8,38.71,42.754999999999995,1.0900000000000034,1.9164285714285723,0,0,,,,0.00025316455696189344,0.0,1.117907008322687,1.3666551366309245
688146.SH,2025-10-24,39.76,40.64,39.76,40.48,39.51,0.97,2.4551,38807.48,156045.746,42.282,39.494166666666665,46.8,38.68,42.739999999999995,1.1300000000000026,1.7985714285714296,0,0,,,,0.024550746646418542,0.0,1.117907008322687,1.400207540643377
688146.SH,2025-10-27,40.5,41.49,37.69,38.89,40.48,-1.59,-3.9279,108308.77,423501.438,42.0735,39.63583333333334,46.8,38.68,42.739999999999995,3.8000000000000043,1.9700000000000013,0,0,,,,-0.03927865612648207,-0.0,1.117907008322687,1.3452092701487386
688146.SH,2025-10-28,38.7,45.38,38.21,45.0,38.89,6.11,15.711,114918.96,470097.088,42.21,39.88033333333333,46.8,37.69,42.245,7.170000000000002,2.4050000000000016,0,0,,,,0.15710979686294668,0.0,1.117907008322687,1.5565548253199597
688146.SH,2025-10-29,48.0,52.4,47.02,47.2,45.0,2.2,4.8889,266624.53,1309303.585,42.397000000000006,40.16,46.8,37.69,42.245,7.399999999999999,2.8114285714285727,1,1,47.2,41.57714285714286,买入,0.04888888888888898,0.0,1.117907008322687,1.6326530612244912
688146.SH,2025-10-30,47.0,52.0,47.0,48.81,47.2,1.61,3.411,246311.94,1220957.952,42.541,40.468,52.4,37.69,45.045,5.0,3.009285714285716,0,1,47.2,42.79142857142857,,0.034110169491525344,0.034110169491525344,1.1560390058523378,1.6883431338637163
688146.SH,2025-10-31,48.35,49.7,45.88,45.88,48.81,-2.93,-6.0029,167177.74,788687.369,42.58,40.738166666666665,52.4,37.69,45.045,3.8200000000000003,2.939285714285716,0,1,47.2,42.79142857142857,,-0.060028682646998566,-0.060028682646998566,1.086643507242476,1.5869941196817723
688146.SH,2025-11-03,45.13,48.5,43.21,46.88,45.88,1.0,2.1796,165689.07,747808.061,42.724,41.02433333333333,52.4,37.69,45.045,5.289999999999999,3.14357142857143,0,1,47.2,42.79142857142857,,0.021795989537924942,0.021795989537924942,1.110327977757787,1.6215842269111047
688146.SH,2025-11-04,46.39,47.35,45.08,45.9,46.88,-0.98,-2.0904,95029.6,436817.859,42.8295,41.28383333333333,52.4,37.69,45.045,2.270000000000003,3.1700000000000013,0,1,47.2,42.79142857142857,,-0.020904436860068376,-0.020904436860068376,1.087117196652782,1.5876859218263588
688146.SH,2025-11-05,43.98,46.9,43.58,45.51,45.9,-0.39,-0.8497,102199.65,460738.709,42.907,41.53483333333334,52.4,37.69,45.045,3.3200000000000003,3.2771428571428585,0,1,47.2,42.79142857142857,,-0.00849673202614376,-0.00849673202614376,1.0778802531518106,1.5741957800069193
688146.SH,2025-11-06,45.5,46.29,44.38,44.75,45.51,-0.76,-1.67,89335.24,403894.799,42.927,41.7315,52.4,37.69,45.045,1.9099999999999966,3.274285714285715,0,1,47.2,42.79142857142857,,-0.01669962645572398,-0.01669962645572398,1.0598800555601742,1.5479072985126268
