ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,ma20,ma60,trade_date_str,rsi,dif,dea,macd_hist,bb_mid,bb_upper,bb_lower,k,d,j
688146.SH,2025-09-04,40.79,41.28,38.35,38.89,40.81,-1.92,-4.7047,79548.98,316374.855,40.6005,,2025-09-04,52.601760870563055,2.0755552305736273,2.602445576079279,-1.053780691011303,40.6005,45.73074663406314,35.470253365936856,32.14641919252011,46.76024741711305,-43.84148467377881
688146.SH,2025-09-05,39.09,39.93,38.88,39.74,38.89,0.85,2.1857,43812.94,173274.156,40.849,,2025-09-05,55.10487242753358,1.8408262094199799,2.4501217027474196,-1.2185909866548794,40.849000000000004,45.21460672819524,36.483393271804765,28.892030401025217,40.8041750784171,-35.73643403217565
688146.SH,2025-09-08,39.99,40.73,38.98,40.53,39.74,0.79,1.9879,57921.54,229654.743,41.116,,2025-09-08,57.35880151970822,1.6989635722264396,2.2998900766432238,-1.2018530088335684,41.116,44.58555722944894,37.64644277055106,30.962910229776334,37.523753462203516,-19.682529697281538
688146.SH,2025-09-09,40.33,40.49,38.81,38.91,40.53,-1.62,-3.997,45684.82,179935.297,41.1925,,2025-09-09,51.63413073972128,1.4392254539440188,2.127757152103383,-1.3770633963187286,41.192499999999995,44.370429647129654,38.01457035287034,23.94577496144378,32.99776062861694,-27.155957001519482
688146.SH,2025-09-10,39.17,39.71,38.83,39.31,38.91,0.4,1.028,40606.7,159619.372,40.915000000000006,,2025-09-10,52.88451577267336,1.2512343304584306,1.9524525877743928,-1.4024365146319244,40.915000000000006,43.687971045837486,38.14202895416253,21.62756678845515,29.207696015229672,-22.740387680323565
688146.SH,2025-09-11,39.03,40.55,39.03,40.25,39.31,0.94,2.3912,45413.73,181053.778,40.896,,2025-09-11,55.77784101650068,1.164674511995841,1.7948969726186825,-1.260444921245683,40.896,43.68236832114008,38.10963167885992,25.627817386993694,28.01440313915101,-7.1597572564719485
688146.SH,2025-09-12,40.29,41.33,40.0,40.33,40.25,0.08,0.1988,54906.55,223255.394,40.8155,,2025-09-12,56.0253453750523,1.0899661127787539,1.6539108006506968,-1.127889375743886,40.8155,43.56768936771979,38.06331063228021,30.44553547796879,28.824780585423603,4.862264677635565
688146.SH,2025-09-15,40.51,40.98,39.89,40.35,40.33,0.02,0.0496,44453.19,179667.413,40.81099999999999,,2025-09-15,56.09150851665503,1.0206080665228754,1.5272502538251327,-1.0132843746045146,40.81099999999999,43.56606729309358,38.055932706906404,39.02361541227884,32.22439219437535,20.397669653710494
688146.SH,2025-09-16,40.66,41.64,40.01,41.3,40.35,0.95,2.3544,55159.3,226377.578,40.897000000000006,,2025-09-16,59.229407759664575,1.0304203315187266,1.4278842693638516,-0.79492787569025,40.897000000000006,43.59710604080272,38.19689395919729,55.904294773332765,40.11769305402782,47.35980515791485
688146.SH,2025-09-17,41.17,42.4,41.0,42.21,41.3,0.91,2.2034,70238.52,293900.064,40.9935,,2025-09-17,62.028701043491495,1.0989579142759425,1.3620989983462697,-0.5262821681406544,40.9935,43.73834224453224,38.248657755467754,68.8387034793435,49.69136319579971,57.44202085063134
688146.SH,2025-09-18,41.79,43.5,41.5,42.09,42.21,-0.12,-0.2843,87792.64,373118.984,41.1155,,2025-09-18,61.429731778144244,1.1305590641367118,1.3157910115043583,-0.37046389473529295,41.1155,43.82559399720463,38.40540600279537,69.20448035794186,56.19573558318042,39.0262343242843
688146.SH,2025-09-19,41.96,44.98,41.8,43.06,42.09,0.97,2.3046,102823.2,447355.819,41.196000000000005,35.48883333333333,2025-09-19,64.42052608589623,1.2198128531827663,1.29659537984004,-0.1535650533145474,41.196000000000005,44.04025478168857,38.35174521831144,69.09688209708281,60.49611775448122,25.80229302780478
688146.SH,2025-09-22,43.22,43.8,41.9,42.27,43.06,-0.79,-1.8346,68310.31,290404.936,41.2125,35.7115,2025-09-22,60.31826968370181,1.2128200912879947,1.279840322129631,-0.13404046168327266,41.2125,44.07867202994927,38.34632797005073,64.7095745145864,61.90060334118294,8.426913520210348
688146.SH,2025-09-23,42.55,43.88,40.52,43.46,42.27,1.19,2.8152,68586.46,287323.94,41.2675,35.9345,2025-09-23,64.03362036523906,1.2884488950309674,1.2815620367098983,0.013773716642138112,41.2675,44.26556867657731,38.26943132342269,67.95764351392596,63.91961673209728,12.114080345486002
688146.SH,2025-09-24,42.89,46.8,42.7,45.93,43.46,2.47,5.6834,133179.32,599640.955,41.464,36.20733333333333,2025-09-24,70.25821312304711,1.530056090042919,1.3312608473765026,0.3975904853328327,41.464,45.109475349843436,37.81852465015656,74.44161280089035,67.4269487550283,21.043992137586145
688146.SH,2025-09-25,45.2,46.4,45.01,45.1,45.93,-0.83,-1.8071,64202.49,291884.071,41.56,36.47016666666666,2025-09-25,66.11730867957894,1.6357021135988035,1.392149100620963,0.487106025955681,41.56,45.48606941515709,37.633930584842915,74.7603998508589,69.8714324536385,14.666902191661194
688146.SH,2025-09-26,44.9,46.68,43.9,44.0,45.1,-1.1,-2.439,69458.63,312677.781,41.6195,36.723333333333336,2025-09-26,60.987096335746465,1.6120834469990157,1.4361359698965734,0.3518949542048846,41.6195,45.65974217617034,37.579257823829664,69.42789543321865,69.72358678016522,-0.8870740408397069
688146.SH,2025-09-29,44.35,44.9,43.5,43.79,44.0,-0.21,-0.4773,53671.86,236431.889,41.644,36.959,2025-09-29,60.02947022808725,1.5584553355946298,1.4605998430361846,0.19571098511689033,41.644,45.732800621981475,37.55519937801852,63.641951520234926,67.69637502685512,-12.163270519860589
688146.SH,2025-09-30,43.77,44.58,43.5,43.96,43.79,0.17,0.3882,44960.05,198428.596,41.8145,37.19766666666667,2025-09-30,60.5692386750357,1.5122400877923923,1.4709278919874262,0.08262439160993207,41.8145,45.994590530371994,37.63440946962801,60.68699103472137,65.35991369614388,-14.018767984267498
688146.SH,2025-10-09,44.12,45.67,44.1,44.35,43.96,0.39,0.8872,55825.83,250440.885,41.9915,37.44983333333334,2025-10-09,61.84230233364664,1.4899091661491397,1.474724146819769,0.03037003865874155,41.991499999999995,46.29059794699947,37.69240205300052,60.787081071979856,63.83563615475586,-9.145665248328015
688146.SH,2025-10-10,44.0,44.69,42.46,42.93,44.35,-1.42,-3.2018,61596.82,265992.083,42.1935,37.67883333333334,2025-10-10,54.8930122276903,1.3421580547061396,1.448210928397043,-0.21210574738180688,42.1935,46.25191698462011,38.13508301537989,53.316652774101215,60.32930836120431,-21.037966761309292
688146.SH,2025-10-13,39.4,44.2,39.4,43.8,42.93,0.87,2.0266,71596.24,309306.272,42.3965,37.9175,2025-10-13,58.00653532476352,1.2805050978239407,1.4146697622824227,-0.2683293289169639,42.396499999999996,46.34279886562617,38.45020113437382,55.36425500255396,58.67429057498752,-9.930106717300674
688146.SH,2025-10-14,43.75,44.06,41.63,41.64,43.8,-2.16,-4.9315,58415.95,249948.999,42.452,38.11566666666667,2025-10-14,48.96902327368171,1.0453011561319272,1.3407960410523236,-0.5909897698407929,42.452,46.31818048970139,38.585819510298606,46.99959342512607,54.78272485836703,-23.34939429972289
688146.SH,2025-10-15,41.65,42.56,40.66,42.26,41.64,0.62,1.489,44847.46,186252.337,42.6195,38.329166666666666,2025-10-15,51.31379468906988,0.8985709892093254,1.252351030683724,-0.7075600829487971,42.6195,46.11174388730532,39.12725611269468,44.42830037865547,51.331250031796515,-20.708848959423136
688146.SH,2025-10-16,42.74,42.74,40.92,40.92,42.26,-1.34,-3.1708,26871.22,111304.117,42.7,38.5185,2025-10-16,46.35618728904667,0.6664767445923658,1.1351761734654524,-0.9373988577461732,42.7,45.93584528938614,39.46415471061387,36.578573878810616,46.413691314134546,-29.505352305971783
688146.SH,2025-10-17,40.92,41.25,39.3,39.42,40.92,-1.5,-3.6657,36710.29,146414.077,42.6585,38.6775,2025-10-17,41.52036526650462,0.35738322821620727,0.9796175844156034,-1.2444687123987923,42.6585,46.04445411415427,39.27254588584572,25.013659404293442,39.28034734418751,-42.80006381968221
688146.SH,2025-10-20,39.92,40.48,38.71,39.23,39.42,-0.19,-0.482,27599.93,108838.702,42.6035,38.83316666666666,2025-10-20,40.93781383754982,0.09598650480791093,0.8028913684940651,-1.4138097273723083,42.603500000000004,46.17913259033321,39.0278674096668,19.166194392134305,32.57562969350311,-40.228305904106406
688146.SH,2025-10-21,39.37,40.19,39.37,40.03,39.23,0.8,2.0393,33048.45,131869.029,42.5875,39.0,2025-10-21,44.47059851710105,-0.04608769734739582,0.633095555325773,-1.3583665053463376,42.5875,46.20817091776333,38.966829082236664,19.09930200854931,28.083520465185174,-26.952655369907596
